#{"t_start": 1781619898.2481868, "env_id": "None"}
r,l,t,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc
-611.08989,411,467.141343,0.1516621108194817,0.14901704365470925,1.0051255226135254,1.0051255226135254,0,100.0,0.09829563452907475,1,-500.0,-600.0,1,100.0,2,0,2,0.14901704365470925
-379.08322,9947,498.579958,0.847879324660043,0.8536608595106404,-2.434330463409424,-2.434330463409424,0,0.0,0.0,0,-500.0,-500.0,0,0.0,2,0,2,0.16064216790539468
-418.229794,9091,519.522181,0.8498569107549727,0.8512929722490251,-0.6046574711799622,-0.6046574711799622,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.25685287397791096
-453.24385,8127,538.075964,0.848823857902478,0.8541298269619454,-2.2340922355651855,-2.2340922355651855,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2935763988797799
-421.602402,8994,558.772535,0.8462637193468133,0.8503209213581602,-1.7082955837249756,-1.7082955837249756,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.3954523996054431
-347.359638,10529,582.229939,0.8484803276882807,0.8535612769947688,-2.1393470764160156,-2.1393470764160156,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.3879533816862508
-231.39395,12928,621.55868,0.8478808649327041,0.8504668605174305,-1.0888402462005615,-1.0888402462005615,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.33351188933967035
1131.616919,26279,681.012223,0.40481113264510415,0.402248931935711,0.973636269569397,0.973636269569397,0,0.0,0.0,0,0.0031145717900402867,0.0031145717900402867,0,0.0,0,0,0,0.24591846802984318
1173.801798,26279,749.713514,0.36015104486426414,0.3581055433309566,0.7772905826568604,0.7772905826568604,0,0.0,0.0,0,-0.0034787794137821904,-0.0034787794137821904,0,0.0,0,0,0,0.17542852957258281
1220.279996,26279,810.560966,0.38643337150728124,0.3811693258170459,2.0003373622894287,2.0003373622894287,0,0.0,0.0,0,0.03759152410866655,0.03759152410866655,0,0.0,0,0,0,0.18856463780064225
419.680781,22288,868.921455,0.1502613944662964,0.14665085534366473,1.3720048666000366,1.3720048666000366,0,100.0,0.3349144656335262,1,-500.0,-600.0,1,100.0,5,0,5,0.14665085534366473
408.144689,21617,919.502882,0.15408729209428604,0.1491930395807017,1.8598159551620483,1.8598159551620483,0,100.0,0.0806960419298286,1,-500.0,-600.0,1,100.0,25,0,25,0.1491930395807017
-597.550264,194,919.778004,0.15048336162516135,0.14791729539770018,0.9751051664352417,0.9751051664352417,0,100.0,0.2082704602299812,1,-500.0,-600.0,1,100.0,1,0,1,0.14791729539770018
-598.159447,213,920.083498,0.1502896280278896,0.14502647013315276,2.096386194229126,2.0,1,100.0,0.4973529866847237,1,-500.0,-600.0,1,100.0,1,0,1,0.14502647013315276
-598.029485,209,920.385132,0.1510598869658026,0.1482560151459551,1.0654712915420532,1.0654712915420532,0,100.0,0.17439848540448943,1,-500.0,-600.0,1,100.0,1,0,1,0.1482560151459551
-597.555066,199,920.659013,0.1507291321236835,0.14773168418125088,1.1390302181243896,1.1390302181243896,0,100.0,0.2268315818749117,1,-500.0,-600.0,1,100.0,1,0,1,0.14773168418125088
