episode_reward,episode_length,wall_time,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc,source_file,episode,timesteps,moving_average_reward_5,moving_average_reward_10
-600.567176,205,305.982824,0.1507785838661522,0.1469321948109001,1.4616278409957886,1.4616278409957886,0,100.0,0.3067805189099826,1,-500.0,-600.0,1,100.0,1,0,1,0.1469321948109001,mdp_train.monitor.csv,128,127889,-600.5345027999999,-600.5315664
-601.760697,247,306.349981,0.1518108003722794,0.14977142964725,0.7749608755111694,0.7749608755111694,0,100.0,0.0228570352749979,1,-500.0,-600.0,1,100.0,1,0,1,0.14977142964725,mdp_train.monitor.csv,129,128136,-600.8507216,-600.5530696
-601.098781,215,306.627002,0.1550368568879603,0.1497736989932234,2.0118746757507324,2.0,1,100.0,0.0226301006776535,1,-500.0,-600.0,1,100.0,4,0,4,0.1497736989932234,mdp_train.monitor.csv,130,128351,-601.0336394000001,-600.5814598
-601.078943,213,306.915839,0.1514260440816807,0.1480537864474677,1.2814579010009766,1.2814579010009766,0,100.0,0.19462135525323,1,-500.0,-600.0,1,100.0,1,0,1,0.1480537864474677,mdp_train.monitor.csv,131,128564,-601.1787834,-600.70121
-602.351952,265,307.26778,0.1515114541874314,0.1482814850749348,1.2273882627487185,1.2273882627487185,0,100.0,0.1718514925065195,1,-500.0,-600.0,1,100.0,2,0,2,0.1482814850749348,mdp_train.monitor.csv,132,128829,-601.3715098,-600.8816208999999
-600.563468,216,309.410364,0.151135280580701,0.1471189389195489,1.526209831237793,1.526209831237793,0,100.0,0.2881061080451053,1,-500.0,-600.0,1,100.0,1,0,1,0.1471189389195489,mdp_train.monitor.csv,133,129045,-601.3707682,-600.9526355
-601.214028,252,309.887456,0.1505425988803986,0.1461424108359007,1.6720714569091797,1.6720714569091797,0,100.0,0.3857589164099256,1,-500.0,-600.0,1,100.0,2,0,2,0.1461424108359007,mdp_train.monitor.csv,134,129297,-601.2614344,-601.0560780000001
-600.815619,216,310.309618,0.1506572077644892,0.1484206943631566,0.8498750925064087,0.8498750925064087,0,100.0,0.1579305636843386,1,-500.0,-600.0,1,100.0,1,0,1,0.1484206943631566,mdp_train.monitor.csv,135,129513,-601.204802,-601.1192207
-602.421232,232,310.759846,0.153840265569228,0.1491341946441679,1.7883069515228271,1.7883069515228271,0,100.0,0.0865805355832055,1,-500.0,-600.0,1,100.0,0,0,0,0.1491341946441679,mdp_train.monitor.csv,136,129745,-601.4732597999999,-601.3260216
-605.771672,305,311.299345,0.1511080507585095,0.1488922993803497,0.8419855237007141,0.8419855237007141,0,100.0,0.1107700619650209,1,-500.0,-600.0,1,100.0,2,0,2,0.1488922993803497,mdp_train.monitor.csv,137,130050,-602.1572038,-601.7643568
